Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
Bakit hnde mabango Dati noong una Kong kuha ang bago kaya kumuha ako NG 2 hnde na tuloy mabango ano ba yan pro OK ang delivery boy 5 stars ka sa akin,5,32,NEGATIVE,INCONSISTENT,LOW,LOW,MODERATE,0,0,LOW
ngayon palang po ako nakabili ng dove shampoo pag nagustuhan ko po bibili po ulit ako salamat po seller,5,19,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Effectiveness,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Effectiveness not tried yet Ingredients good Fragrance mabango maganda maganda sya mabango at malaki talagang maayos may tagas lang na kaunte pero ok lang konte lang naman at maganda sya libre wala talaga ako binayaran kahit piso malaki at mabango pa sya,5,42,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Ingredients Improves hair texture Improves hair texture Deeply nourishes hair Deeply nourishes hair Easy to rinse out Repairs damaged hair Suitable for all hair types,5,25,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Suitable for all hair types Deeply nourishes hair Long lasting fragrance,5,11,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
fragrant but harsh on hair,5,5,MIXED,INCONSISTENT,MODERATE,HIGH,MODERATE,0,0,MODERATE
Deeply nourishes hair Deeply nourishes hair Deeply nourishes hair Deeply nourishes hair Deeply nourishes hair,5,15,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,1,0,LOW
Gives hair a healthy bounce Provides hydration to hair Gentle on the scalp Leaves hair soft and smooth,5,18,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,1,0,LOW
Very satisfied with both price and capacity,5,7,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
thank you so much i wish god bless us,5,9,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
thank you i wish hope was so much very happy smile,5,11,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
received the itemtnx,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
not good d ko sure ha mukhang fake d n ko mauulit d nga nagamit stock nangati kc kmi second gamit p lng,5,23,NEGATIVE,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Nkatipud kumpra sa palengke,5,4,POSITIVE,CONSISTENT,MODERATE,LOW,LOW,0,0,LOW
Ang lake Ang bango,5,4,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
legit,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Di ko na napicturan di ko sure kung shampoo talaga siya hindi kasi gano mabula anyway thank you po,3,19,MIXED,CONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Easy to rinse out Prevents split ends Gentle on the scalp Suitable for all hair types Improves hair texture Gentle on the scalp,5,23,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
It s nice to be able to buy a good product at a low price I repurchased again thank you,5,20,POSITIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
mabango bili ult aku,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
mabango din sya,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
so good,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Quality good Texture smooth Effectiveness 6 10 mabango naman Siya and refreshing goods,5,13,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Leaves hair soft and smooth thank you magnda mabula sya definitely will order again,5,14,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
dhil mura alam Kong fake to wale eh Wala p Kong sweldo kaya sa mura kumakakpit WalaNg amoy pero mabula,5,20,NEGATIVE,INCONSISTENT,MODERATE,LOW,MODERATE,0,0,LOW
Prevents split ends Provides hydration to hair Long lasting fragrance Leaves hair shiny Gentle on the scalp Suitable for all hair types,5,22,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
imitation but ok nmn,5,4,MIXED,INCONSISTENT,LOW,MODERATE,LOW,0,0,LOW
Prevents split ends Gentle on the scalp,5,7,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
thank you super legit,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Dipa nagamit,5,2,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
