review,label
im very disappointed kasi di gumana ang dalawa kung order,0
10 10 it has minor damage when it was delivered manipis madali mapunit pag di maingat sa pagtanggal ng sticker pero thankfully maganda naman sya thank you,1
super ganda then tama ung size and color sa uuliten po,2
we like it po madali naming na receive and good quality po pang 2nd na order napo namin itothank you and god bless po,2
walang picture and video nung product wala kase ako sa bahay hehe pero naka8 na yata akong bili dito nagustuhan kase nung mga kasama ko pabudol na kayo,2
thankyou seller thanjs din sa rider love it,2
kahit mali size makabenta lng hay nako d nq oorder dto,0
hi as u can see po i ordered pink earphone and a pink cutter also a flexible fan but to my disappointment mali na ang kulay hindi pa tugma sa description yung cutter hindi nag ssteady yung fan hindi nabebend yung earphone imbis na pink naging blue,0
okay nman goods nman ang quality ma try nga rin ang ibang kulay tapos makapal rin ang talapakan nice buy to,2
thanks seller highly recommend ang ganda ng product legit,2
thankyou very much po seller dahil ang bilis lang ng shipping nyo and well packaged so nice love the colors more sales and god bless,2
super ganda niya po kaso yung shade dark po kasi yung order ko pero may pag ka pink na light po sya pero sulit namn tenkyou seller,2
it oddly smells like scented baby oil but has a strong smell nakakahilo talaga but i cannot comprehend whether in a bad way or good depends na talaga if mahilig kayo sa strong scents overall it s ok but i would probably not use it everyday,1
good ang cute tama lang gamitin pangwork maganda kc di masikip sa paa thank u seller and rider,2
neat maliit lang and manipis ang advertised product is fully automatic umbrella pero manual umbrella pa rin dumating na hype ata masyado itong product kaya daming bumili kahit mali yung dineliver disappointed but can t complain kasi mura lang so i can t expect a lot sana matibay naman maganda color super,1
maganda din malambot at hindi gaano mabigat over all maganda sya kaya lang parang maliit ang sizing size 7 kasi ako pero maliit sakin ung size 37 nila order na lang ako ulit,1
ok naman d five star kc yung fila nya na sticker d manlng dnikit ng mabuti pagtang gal mo ng plastic sumama na yung sticker nya pero sa tela ok naman sya makapal and sa kulay pala akala ko dark yung kulay hindi pala sa pic lang patay kulay,1
disappointed lang konti kasi blue pink ombre yung order ko pero pink binigay nila pero okay na dn gusto ko lng talaga ng motivational water bottle so far nakakatulog naman sakin linisin nyo lang maigi para walang aftertaste ung tubig nyo babad overnight sa water soap baking soda,0
hindi pa naka bubble wrap so disappointed,0
mali ung bngay parehong 850ml dpat 2l ung pink hnd man lng ngsabi c seller pra sna kht ibang kulay bsta 2l prn ung pckaging hnd rn gnun kaauw dpat buong my bubble wrap hnd ung s cap lng,0
the product is working naman what i don t like is yong manner of shipping walang nakalagay na fragile kaya itapon tapon lang yan ng mga courier services kaya ayan basag ang lock however hindi ko na isasauli to can t imagine sa dami pag daanan bago ma return to it s a waste,1
not that satisfied will change ratings pag na try ko na maigi,0
okay naman makapal matagal yung deliver at hindi nag rereply yung seller petition to sanction the seller shoppe,0
sira ulo shoppe na ito omoorder ako 10 pcs nakagay bawat order 10 pcs dumating skn 45 pcs instead of 100pcs mga scammer no to order again sayang kayo oorder pa naman ulit ako para sa kwarto ko kaya big no na,0
d kasya tama naman measurement ko manipis fits d price,1
ang inorder ko mag kaiba ng kulay ang dumating mag kamukha saka yung naiano sakin yung malaking size tsk at ang tagal bago makuha,0
maganda ang quality nga lang para sa maliit ang boobs tulad ko wag masyado mataas ang expectations it functions as a bra ayun though kahit 34 ako masikip pa rin yung 34 i guess ito yung nagpupush up ng boobs kumbaga sobrang ginhawa pag tinanggal delivery and packaging wise superb,1
nascam ako ng shop na ito 2 item order ko isa lang pinadala nag messege ako hindi kau nagreply inipon ipon pa ng dalawa kong anak ung pambili nila ng tsinelas ang ending isa lang pinadala nyo,0
wrong product please check your item before shipping this is not the motivational tumbler i ordered does not serve its purpose kailangan nga mameasure kung nakakainom ba ng water,1
parang alcohol it does not smell like ari s cloud parang alcohol siya na may shampoo ari s cloud has that creamy vanilla with a hint of coconut na scent its far different from what i bought i get na its an inspiration pero napakalayo ng amoy from the inspiration,0
nd tumatagal not satisfied nd sya maganda,0
order recievedfast deliveryi think good quality nman xa what u see is what u het tlga salamat shopee salamat kay seller at kay kuya rider,2
para saan yang sa likud sakit sa utak pag titingin sa salamen daling ma lowbat 8 minutes lang ok sana kung may lalagyanan ng rechargeable battery ok parin para sa price nya,1
10 10 good quality sana mali lang yung size na pinadala ni seller i ordered size 36 pinadala size 37 nexttime pakicheck po muna ng inipapack nyo para wala kayong bad review buti sana kung agad agad mabebenta ko to sa ibang tao,1
home away from home medjo malayo lang sya pero it s good to get rest after a long day trip kasi tahimik sya and what i like the most is pwede ka magluto and they have cookwares that you can use and well air conditioned room,2
super ganda at hiyang na hiyang sa akin gustong gusto ko ang texture at mabango hindi harsh sa skin ang smooth nya grabe hindi matapang katulad ng kojic,2
okey naman nagustohan ko pero yung brown maliit lang d kasya sa paa kobut still satisfied thank you reseller,1
pg icharge m nksindi ayaw mturb off gnun dn pg tinanggal m n s charge low bat ulit,0
wag na kau bumili dito kulang talaga sla nag papadala kampante pa naman akong completo kasi minessage ko pa na paki double check nag reply naman na okay daw kaso pag dating kulang ng dalawang items wag na kayo bumili magsisisi lang kayo,0
u gave me wrong item i m disappointed,0
goods nmn at tama lahat ng items kaso yung skintone na color is merong parang lipstick na mantsa d ko alam ano yun kasi red na parang lipstick pero all in all goods will order again,1
ayos naman sya pero magkakaiba sya nga size and mas manipis sya unlike sa inorder ko dati goods pambahay thank you po might order again,1
10 pang 2nd time kuna mg order dito sa shoppe na ito ligit tas ang bango tlga nito i ordered again pag ma ubos na to,2
black maayos naman sskto din anh size super affordable din kaua sulit na sulit mabilis din dumating at nakapack maayos,2
parang malambot sya tapos sobrang gaan duda ako kng copy class a or pwd paghinala an na imitation compare sa original na naabibili s mga samsung stores,1
mali ang size na dumating nakaka dismaya sana sa susunod check nio ng maayos ang order thank you pa rin kau kuya rider,0
good goods naman kaso di gumagana yung remote,1
rubber and canvas maliit po siya sa 38 mukha lang siyang 36 or 37 pero makapal po siya mukhang mejo magtatagal,1
nareceive ko na po thank you seller and thanks sa nagdeliver god bless po thank you thank you thank youuuuuu so muchhhh poooooooooooooooooooooo,2
sulit naman sa price nya okay siya pag mag isa ka then naka earphones preferably earbuds para hindi makinig yung slight noise ng fan pero all in all its good might buy again soon,1
bench yung inorder ko tapos h m ang dumating wrong item po wag na lang kayo bumili aasa ka sa wrong product,0
masakit sa ulo ung amoy iba sa ariana grande cloud ang amoy na nabili ko dati,0
plastic ang gandaaa pa din thank you po seller,2
nice item is well packed lumalabas yung lamig nya sa takip sa cover kaya di sya ganun ka vacuum insulated,1
gandaaaaaaaaaaa sakto lang sakin hehe order ulit ako dito sa susunod hehe thankyouuuu seller,2
sabi ko icancelled na yung item tas dumating sakin wrong item pa karaoke microphone order ko tas dumating sakin 6pcs na correction tape kuhang kuha mo gigil kong seller ka,0
good quality for it s price matagal lang sya dumating though will order again soon,1
thank u shopee and seller sa uulitin,2
good maganda siya yung mga design niya sobrang cute nila nagustuhan din ng pinsan ko well packed din tas bilis dumating salamat seller,2
anong fragrance pag dating ng package yupi yung box walang bubble wrap next defective yung item ayaw umusok nilakihan ko na yung butas wala talaga don t order here,0
super ganda ng bag at ung mga damit makapal ung tela nya at maganda thank you po gamit ko na sa office,2
this was my second purchase sobrang secure ng packaging to the point na 9meters bubble wrap nag ginamit pamblot hahaha the item is working well i just hope it will serve its purpose thank you so much,2
nag try akong mag lagay ng water base na pabango kaso di sya masyado maamoy not bad for its price thank you,1
super sulet mura na maganda pa salamat seller at sa shoppee,2
one mystery box and one mystery pouch inorder ko sira ang nakuha kong gamepad nakakadisappoint okay naman ang mouse di ko palang na try,0
akala ko nung una mahina pero ok naman pala thank you seller kasi well packed and walang damage,2
sira ang celphone stand,1
anlayo sa pic sayang ang pera madaling mapunit mdaling mabakbak mgnda pa quality ng cartolina definitely will not biy this product again,0
i recieved my orders well packaged kaya lang medyo may damaged ung isang bra pero since mabait naman talaga si seller ok narin it will not affect to wear this bra anyways next time nalang sis sana di ma doble ang colors hehehe thanks i will order again,1
waste of time if magrereturn pa,0
naghahang pero ok naman for its price,1
thankyou seller rider no damage yung kulambo nya medj manipis ang foam sa higaan at unan ng baby may mga tastas so dapat tahiin na lang para sure n di masira hehehe nasunod naman color at design ng gusto maraming salamat,1
not good mali ang kulay maliit lng ang pagkatubigan order ko 2l pero 1l lng ang idinating skin,0
