review,label
high quality okay lang nmn yung items yung moskit ng bb is okay lang malaki sya pero yung bib lang diko nagustuhan kasi ang liliit baka di magkasya sa leeg ng bata,1
ok namn po mbilis din po ndiliver,2
7 10 2 order ko parehong di nagana mic amf,0
silk like accurate sizing maganda yung product my low waist size is 29 sakto lng yung medium 3 stars kasi di tama yung size na binigay i ordered 3 m yung isa is xl di ko tuloy masuot kasi malaki masyado,1
good nakaka excite na mag order pero ayun lang ang tagal dumating ng order good service and contact si seller maganda ang color and all pero yung hawakan parang manipis and maluwang mukhang di siya heavy duty,1
"value for money, convenient and easy to use, great for everyday use, xkkzksjxksksjdjxnsjsjx",2
although some keys were detached as shown in the picture mouse and keyboard are operational,1
thank you seller nakaabot sa christmas party ng anak ko so nice po ang shoes nila and comfy kasi hindi nagreklamo ang anak ko habang suot niya,2
u gave me wrong item i m disappointed,0
i rcvd the packaged today in very good conditon i haven t yet try these profucts so i can give a good feedback i like all the products i rcvd thanks seller shopee and shopee rider,2
"design: nice material: absolute sturdy capacity: large capacity, perfect for long hikes, mabilis dumating wla pa isang buwan",2
tama nmn kso d nsunod request ko slamat nlng maganda rin ung slippers sakto lang size nia,1
ang ikli nung strap to na nga ang pinaka small size mas lalo pang lumiit dahil sa strap,1
hndi ko na tanggap sana ma bigyn ng action yung mga driver n tinitake advantage yung parcel na maliit yung halaga kasi binabayaran nila at kinukuha my proof of picture ng delivery pero hndi ko namn na kuha saan mo bingay kuya shout out po sa driver kung cnu kamn tutana jade cyrus,0
sa pangalawang pagkakataon thank you s e l l e r ang cute talaga nong items salamat sa magandang serbisyo thank you s h o p e e,2
maayosss ang ganda niyaaa superbbbb ganda poo will buy againnngandaaa super ganda po niyaa for rainy and sunny dayyy wohoo,2
i am not happy with their service i ordered 2 umbrellas with bag pero walang bag ung pinada sabi ni seller baka pwd na daw un kasi magagamit ko din naman daw un tsk tama ba un kaya ka nga umorder ng tamang item na gusto mo tas marunong pa,0
sa murang halaga maganda ang producto super cute sakto sa anak ko may sipon sya magagamit nya na agad hehe,2
walang hiyang supplier nato scammer manlulu malaki order ko hinayi hati yo para dumami ang isa dapat hinati sa tatlo scammer scammer scammer scammer scammer scammer scammer scammer,0
sobrang nakaka disappoint lima ang order namin apat lang nakadating black mask ang order blue ang dumating pakiayos naman po sana nagbabayad naman kami ng tama,0
maganda siya malakas hangin super ganda talaga grabe tapos dinala ko siya sa e school dahil hindi ko magagamit sa bahay super ganda nya order na kayo hindi kayo ma bubudol,2
super ganda at hiyang na hiyang sa akin gustong gusto ko ang texture at mabango hindi harsh sa skin ang smooth nya grabe hindi matapang katulad ng kojic,2
wag masyado magexpect sa order goods nman may missing piece lang pero usable pa din nman,1
ok thank you thank you thanks ty and the thanks salamat akala ko ang clear roots clear ang mascara kaya nadissapoint ako na may color pala sya hahah kasalanan ko naman maganda naman ang product,1
i like the product very well sana d masira agad thank you seller,2
2 okay naman ang earphone disappointed naman sa smart watch,1
amoy guma at alcohol nagkatapon2 sayang pera sobrang dissapointed hindi ko alam kung expired ba to hindi mo sya matatawag na pabango pabaho sya sayang pero nakakahiya na sa pagbibigyan drtso na sya sa basurahan excited pa naman ako sa ariana grande na cloud kasi sabi mabango actually amoy alvohol,0
price: affordable quality: legit taste: tasty as its best pangsalba sa tag gutom,2
"trendy tie dye design, lightweight and easy to wear, great value for money",2
complete items at maayos yong items thank you shoppee and thank you also seller well order again godbless,2
"convenient and easy to use,",2
its working thankyou so muchits working thankyou so muchits working thankyou so much,2
sira yung isang airpod na violet di nyo po tinry kung gumana,0
hnd nmn madikit,1
okay na sana kaso basag yung ringlight di ko alam kung sa delivery ba o sa pag wrap kasi medyo manipis ang bubble wrap nagagamit pa naman,1
"Maganda Sana Yung sapatos, KAYA lang Yung pagkaka valor, Wala man Lang karting, naka plastic lang. tsaka gusot- gusot na tuloy Yung sapatos. Tinipid ampt",1
10 10 good quality sana mali lang yung size na pinadala ni seller i ordered size 36 pinadala size 37 nexttime pakicheck po muna ng inipapack nyo para wala kayong bad review buti sana kung agad agad mabebenta ko to sa ibang tao,1
good ang order kopo ay plain lang na pink dumating may mga star na designs pero dibale na magagamit padin naman paki check nalang po yung order nextime para tamang item po yung dumadating salamat ok naman yung item makapal narin dipa namen nadidikit and di sya ganyan ka pink,1
"seller should revise the item descriptions. it says 3mm thickness, 30mm width but the actual item is about 0. 5mm thickness and 19mm width only. deceiving customer like me. but quality is good.",1
polo shirt is okay... right color...right size... good packaging... mejo tagal lang delivery,1
bakit po di pa dumating ang order ko byad na po yan,0
stretchable soft material ganda sakto lang sakin ang comfortable pa suotin legit na seamless reusable pa ung lalagyan nya kasi may ziplock thanks seller tama lahat ng size at kulay na pinadala wala din damage what you see is what you get order ulit ako soon,2
got it fits okay kaya lang mejo awkward yung sa straps nya pagsuot na,1
malaki pala toh hehehe thankyouuu seller may mgagamit na ako para sa check up at need ko din talaga mamonitor pag inom ko ng water tamang tama lang saken itong dalawang litro sa isng araw lalo na t preggy ako,2
"value for money, value for money: refreshing citrus scent, eco-friendly packaging, versatile scent options, efficient cleaning power, great for everyday use, gentle on hands, long-lasting freshness, efficient cleaning power,",2
juskooooo nung isang bwan ko pa to inorder ngayon lang dumating palibhasa binayaran ko na thru gcash nung pagka order ko pa lang omg,0
ilang beses na ako nag order ng wallpaper yung una sakto sa 10meters pero yung pangalawa at pangatlo kung order almost 6meter nlang ang seller bakit naman ganun,0
bumili ako ng tatlong mouse lahat tumagal lang ng one week hindi na agad ganon napipindot yung left click then yung keyboard dalawa binili ko yung isa biak nung dumating saken then yung performance ay napaka poor di sya pang gaming siguro pang office pwede pa not recommended this,0
i hope ok cya kc png change gift ng anak q yan ska nakakainis yun ngdliver ngmmadali kloka,1
not satisfied please seller next time paki ayos naman po yung mga items at pakicheck kung kulang yung ibang parts at kung maayos yung item sana ho kung pag sasamahin nyo sa isang lagayan yung inorder ko na 11 items gumamit sana kayo ng bubble wrap nag leaked,0
correct color ganda ng quality ng item love the color too,2
"sound quality: very good, the max volume is good, has good noise cancellation despite being the non anc version. comfort: the left buds doesnt fit my ear well, have to purchase an ear pads just to prevent it from slipping.",1
maganda din naman kahit rubber at simple lang pwede gamitin sa simpleng lakad2 fashionable din pwede pang style,2
okay sana mabilis na deliver kaso as u can see poor packaging wala rin manual may defect din yung tripod sana next time hindi na ganto,0
about sa size na nakalagay sa description medj tama sya 23cm talaga yung size ko 36 dapat ako pero i got the 37 which is 23 5 naman ang insole and i m glad that i made the right choice kasi ang hard at ang sturdy kasi ng shoes na,1
kahit sana plastic labo ipi nlasatic manlang,1
50 50 ok na sana e bakit yung isa halos walang nalabas na hangin color pink yung isa goods naman color white,1
maganda po sya tas pag short girl ka taatangkad ka sa white na shoea haha ang taas parang may takong charis good quality lahat,2
thank you po maganda ang quality,2
i received my parcel yesterday this is my second time ordering from this shop will order again p s di ako makapag input ng video that s why ganiyan po hehe,2
"Same issue as others. 2 violet at 1 blue, I received 3 blue. Nag communicate naman ako to avoid this problem maiintindihan nman kung hindi available para hindi nkaka disappoint pagdating ng items. Pls. do chat nman kung wala ung napili naming color/s alagaan nyo ang buyers kse paulit ulit kaming oorder kung excellent ang seller. We value the sellers asmuch as we hope you value us. Update: Without being told, nagsend si seller ng 1 pc. vilolet cord, very much appreciated. Thank you.",1
excellent maganda naman siya kaso nga lang mukang ni rush yung gawa may part na di natahi at ang daming excess na sinulid nung order ko ok naman but this time diko sure bat ganto yung item na received ko ngayon,1
okqy i bought size 36 and it was stated thirty six but size thirty eight yung laki niya so hindi ko din siya masusuot,1
maganda sya solid ung kulay nya di ako nagsising binili ko sya ganda nya sa pader bili narin kayo da best to hehehehe iloveyou,2
not nice nakaka disappointed sya tagal ko inintay tas ganto lang dadating baliktad yung lens nya then medyo paling yung frame ng glasses then yung buble wrap nya butas kaya walang hangin one of the reasons din siguro kung bakit nadamage yung item so sad talaga sayang lang yung pera,0
effective matagal siya mawala sa sobrang kapit sa pilik mata ano ilalagay ko para sa coins sis 1234567890 queen lol five six,2
maganda dahil maliit talaga kasya sa bag pero manipis as expected okay siya kung gagamitin lang para di mainitan sa araw pwede din sa ulan pero kung malakas yung hangin for sure babaliktad or lilipad to sobrang nipis at parang di stable yung hawakan mukhang agad masisira pero pwede na,1
performance: good,2
my items were not complete but package really well and ang ganda din ng product will order again soon sana kumpleto na next time,1
mali ang kulay wala ung plum red at cherry lang haissssssstttt ung dati ko pinag orderan tama magbigay ng order ung color,0
bilis mag miss click. lingo lng miss click na.,0
"as always, anker soundcore' s sound quality doesn' t disappoint. great bass, crisp sound. you just need to fit the buds the right way tho to avoid sound leakage. easy to connect. quality of the material is really good especially the case, glossy, lightweight and buds don' t come off of your ears easily. finally there' s no pressure in my ear cuz it doesn' t have rubber tips! i can sleep well with them! touch control is sensitive so you have to be careful with touch accidents. haven' t tried the quality of the call tho, and the connection if it disconnects in certain areas or how far it is from the source. will update about that. but so far it' s pretty good, especially cuz it' s super cheap. definitely way worth the price. excellent! update: i tried using it on runs. doesn' t get removed easily. there' s only problem with this buds. the connection keeps getting disconnected and reconnecting whenever i use apps that need sound and microphone, except music apps. it' s annoying. that' s the only problem so far",1
we dont stop we gomo the gamechanger has finally arrived convert your data into calls and texts order your sim today no expiry data 5g and lte ready free delivery highlights free delivery available app available,2
pang 3rd q ng order to subok q n tong seller n to bilis ng shipment kya highly recomended tlga,2
maliit pla ung size nia dpat add 1 size pa para sure na sakto d ko man naisuot pero nabenta ko nmn d parin sayang pera ko,1
parang madali masira and wrong size i ordered size 9 pero size 8 ang dumating,1
green po order ko black dumating,0
ang ganda kasya naman sakin nakakaliit rin ng tyan ready na para sa holidays oorder ulit ako sa susunod salamat,2
magka iba yung unang cloud na binili ko from another store yung scent nito masyadong pang pang lalaki pero considering it s price worth it naman,1
